Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Recommended_Major
b,d,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Commerce
b,d,No,Yes,No,Yes,Yes,Yes,Yes,No,Commerce
b,c,No,Yes,No,Yes,No,No,No,No,Commerce
b,b,No,Yes,No,Yes,No,No,Yes,No,Commerce
a,b,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Commerce
b,a,Yes,Yes,Yes,No,No,No,Yes,No,Commerce
a,d,Yes,Yes,Yes,No,No,Yes,Yes,No,Commerce
c,b,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Commerce
b,a,No,Yes,No,No,Yes,No,Yes,Yes,Commerce
a,d,No,Yes,No,Yes,No,Yes,No,No,Commerce
c,c,No,Yes,No,Yes,Yes,No,No,Yes,Commerce
b,b,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Commerce
b,b,No,Yes,Yes,Yes,Yes,Yes,No,No,Commerce
b,c,Yes,Yes,No,No,Yes,No,No,Yes,Commerce
b,d,Yes,Yes,No,No,No,Yes,Yes,Yes,Commerce
b,d,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Commerce
b,c,No,Yes,No,Yes,No,No,Yes,Yes,Commerce
b,a,Yes,Yes,No,Yes,Yes,No,No,No,Commerce
a,d,No,Yes,Yes,No,No,Yes,Yes,No,Commerce
b,c,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Commerce
b,c,No,Yes,No,Yes,Yes,Yes,No,Yes,Commerce
b,d,No,Yes,No,No,No,No,No,Yes,Commerce
b,b,No,Yes,Yes,Yes,No,Yes,No,No,Commerce
b,a,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Commerce
b,d,Yes,Yes,No,No,Yes,No,Yes,No,Commerce
a,a,No,Yes,Yes,Yes,No,No,Yes,Yes,Commerce
b,b,No,Yes,Yes,No,No,Yes,Yes,No,Commerce
b,c,No,Yes,Yes,Yes,No,Yes,No,No,Commerce
b,d,No,Yes,No,No,No,Yes,No,Yes,Commerce
b,d,Yes,Yes,No,No,No,Yes,Yes,No,Commerce
a,a,No,Yes,Yes,Yes,No,No,No,No,Commerce
a,c,No,Yes,No,Yes,No,No,No,No,Commerce
a,c,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Commerce
a,a,No,Yes,Yes,Yes,No,Yes,Yes,No,Commerce
b,d,Yes,Yes,No,Yes,No,Yes,No,No,Commerce
b,c,No,Yes,No,No,No,Yes,Yes,No,Commerce
a,d,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Commerce
b,c,No,Yes,Yes,No,No,No,Yes,No,Commerce
b,d,Yes,Yes,Yes,Yes,No,No,No,No,Commerce
b,a,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Commerce
b,d,No,Yes,Yes,No,Yes,No,No,Yes,Commerce
a,c,No,Yes,No,Yes,No,No,Yes,No,Commerce
b,a,Yes,Yes,Yes,Yes,Yes,No,No,No,Commerce
a,d,Yes,Yes,No,Yes,Yes,No,Yes,No,Commerce
b,d,No,Yes,Yes,Yes,Yes,No,No,Yes,Commerce
b,b,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Commerce
b,d,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Commerce
b,d,Yes,Yes,Yes,Yes,No,No,No,Yes,Commerce
b,a,No,Yes,No,Yes,No,Yes,No,Yes,Commerce
b,d,No,Yes,Yes,No,No,Yes,Yes,Yes,Commerce
b,c,Yes,Yes,No,Yes,No,No,Yes,Yes,Commerce
a,b,Yes,Yes,Yes,Yes,No,No,Yes,No,Commerce
b,b,Yes,Yes,No,No,No,No,Yes,No,Commerce
b,a,Yes,Yes,No,No,Yes,No,Yes,No,Commerce
b,b,No,Yes,Yes,Yes,No,No,No,Yes,Commerce
a,b,No,Yes,No,Yes,No,Yes,Yes,Yes,Commerce
a,a,No,Yes,No,Yes,No,No,Yes,No,Commerce
b,c,No,Yes,Yes,Yes,No,No,No,No,Commerce
b,c,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Commerce
b,a,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Commerce
c,d,No,Yes,No,No,No,No,No,Yes,Commerce
a,d,No,Yes,No,Yes,No,No,No,Yes,Commerce
b,c,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Commerce
a,d,No,Yes,No,Yes,No,Yes,No,Yes,Commerce
c,d,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Commerce
b,a,No,Yes,No,Yes,Yes,No,No,Yes,Commerce
b,b,No,Yes,Yes,No,No,No,Yes,No,Commerce
c,b,No,Yes,Yes,Yes,Yes,No,Yes,No,Commerce
b,a,No,Yes,No,No,No,Yes,Yes,No,Commerce
b,b,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Commerce
a,d,Yes,Yes,No,Yes,No,Yes,Yes,No,Commerce
b,b,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Commerce
b,c,No,Yes,No,Yes,No,Yes,No,Yes,Commerce
a,d,Yes,Yes,Yes,No,No,No,No,Yes,Commerce
b,a,Yes,Yes,Yes,No,Yes,No,Yes,No,Commerce
b,c,No,Yes,No,Yes,No,Yes,Yes,No,Commerce
c,d,Yes,Yes,No,Yes,No,No,No,Yes,Commerce
b,c,No,Yes,Yes,No,No,Yes,No,Yes,Commerce
b,c,No,Yes,No,Yes,Yes,No,Yes,No,Commerce
b,d,No,Yes,No,No,No,Yes,Yes,Yes,Commerce
a,d,No,Yes,No,Yes,Yes,No,Yes,Yes,Commerce
b,a,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Commerce
a,d,No,Yes,No,Yes,Yes,No,Yes,No,Commerce
a,d,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Commerce
c,d,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Commerce
b,c,No,Yes,Yes,Yes,No,Yes,No,Yes,Commerce
b,c,Yes,Yes,No,No,No,Yes,Yes,No,Commerce
b,d,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Commerce
a,d,Yes,Yes,No,Yes,No,Yes,No,No,Commerce
b,d,No,Yes,Yes,Yes,No,No,No,No,Commerce
c,d,No,Yes,Yes,Yes,No,Yes,Yes,No,Commerce
b,a,Yes,Yes,No,No,No,No,Yes,Yes,Commerce
c,a,No,Yes,No,Yes,No,No,Yes,Yes,Commerce
c,d,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Commerce
b,d,Yes,Yes,No,No,No,No,Yes,No,Commerce
c,b,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Commerce
b,c,Yes,Yes,No,No,No,No,No,Yes,Commerce
c,d,No,Yes,Yes,Yes,No,No,Yes,No,Commerce
a,d,No,Yes,No,No,No,Yes,Yes,Yes,Commerce
b,d,Yes,Yes,No,Yes,No,Yes,Yes,No,Commerce
b,d,No,Yes,Yes,Yes,No,Yes,No,No,Commerce
b,a,No,Yes,No,No,No,Yes,Yes,Yes,Commerce
a,a,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Commerce
b,c,No,Yes,No,No,No,Yes,No,No,Commerce
c,d,No,Yes,No,Yes,No,No,No,No,Commerce
b,a,Yes,Yes,Yes,Yes,No,No,No,No,Commerce
b,b,No,Yes,Yes,Yes,No,No,No,No,Commerce
b,c,No,Yes,No,No,Yes,Yes,Yes,No,Commerce
b,a,No,Yes,Yes,Yes,No,No,Yes,Yes,Commerce
b,a,No,Yes,No,Yes,No,Yes,Yes,Yes,Commerce
a,c,Yes,Yes,No,Yes,No,No,No,No,Commerce
b,c,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Commerce
b,d,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Commerce
b,c,Yes,Yes,Yes,Yes,No,Yes,No,No,Commerce
c,b,No,Yes,No,Yes,No,Yes,Yes,Yes,Commerce
c,d,No,No,No,Yes,No,Yes,Yes,No,Commerce
a,d,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Commerce
c,d,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Commerce
b,d,No,Yes,No,Yes,Yes,Yes,No,No,Commerce
b,b,Yes,Yes,Yes,Yes,No,No,No,Yes,Commerce
a,d,Yes,Yes,No,No,No,No,No,Yes,Commerce
b,b,No,Yes,No,No,No,Yes,Yes,No,Commerce
b,b,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Commerce
a,c,No,Yes,Yes,Yes,No,No,Yes,Yes,Commerce
b,c,No,Yes,Yes,No,No,No,Yes,Yes,Commerce
b,a,No,Yes,Yes,Yes,No,No,Yes,No,Commerce
b,c,No,Yes,No,No,Yes,Yes,Yes,Yes,Commerce
b,b,Yes,Yes,Yes,Yes,No,Yes,No,No,Commerce
b,d,Yes,Yes,No,Yes,Yes,Yes,No,No,Commerce
b,c,No,Yes,Yes,Yes,Yes,No,Yes,No,Commerce
a,d,Yes,No,No,Yes,No,No,No,No,Commerce
b,c,No,Yes,No,No,Yes,No,No,No,Commerce
a,d,No,No,No,Yes,No,No,Yes,No,Commerce
b,d,No,Yes,No,Yes,Yes,No,No,Yes,Commerce
c,d,No,Yes,Yes,No,No,No,Yes,No,Commerce
c,c,No,Yes,No,Yes,No,No,No,Yes,Commerce
a,d,No,Yes,Yes,Yes,No,No,Yes,Yes,Commerce
a,d,Yes,No,Yes,Yes,No,No,Yes,No,Commerce
b,d,Yes,Yes,No,Yes,No,No,Yes,No,Commerce
a,b,Yes,Yes,No,Yes,No,No,Yes,Yes,Commerce
b,c,No,Yes,No,Yes,Yes,No,No,No,Commerce
c,d,No,No,No,Yes,Yes,Yes,Yes,No,Commerce
a,d,No,Yes,No,Yes,No,No,No,No,Commerce
a,c,No,Yes,Yes,Yes,No,No,No,No,Commerce
b,a,No,Yes,Yes,Yes,Yes,No,No,No,Commerce
b,b,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Commerce
a,c,No,Yes,No,Yes,No,Yes,No,Yes,Commerce
b,a,No,Yes,No,No,Yes,Yes,Yes,No,Commerce
b,b,Yes,Yes,No,Yes,Yes,No,No,Yes,Commerce
b,d,Yes,Yes,No,Yes,No,No,Yes,Yes,Commerce
a,d,No,Yes,No,No,No,Yes,No,Yes,Commerce
b,c,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Commerce
a,d,Yes,Yes,No,No,No,Yes,Yes,Yes,Commerce
b,a,No,Yes,Yes,Yes,No,Yes,No,No,Commerce
c,b,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Commerce
b,a,No,Yes,Yes,No,Yes,No,Yes,Yes,Commerce
b,b,No,Yes,Yes,No,No,No,No,No,Commerce
b,a,No,Yes,No,Yes,Yes,Yes,Yes,No,Commerce
c,b,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Commerce
c,b,No,No,No,Yes,No,No,Yes,No,Commerce
c,d,No,Yes,Yes,No,Yes,No,Yes,No,Commerce
a,d,No,Yes,Yes,Yes,No,No,No,No,Commerce
c,d,No,Yes,No,Yes,No,No,Yes,Yes,Commerce
b,d,No,Yes,No,No,No,No,Yes,No,Commerce
c,d,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Commerce
b,b,Yes,Yes,No,Yes,No,No,No,No,Commerce
a,d,No,Yes,No,Yes,No,Yes,Yes,No,Commerce
c,d,No,Yes,No,Yes,No,Yes,Yes,Yes,Commerce
a,d,Yes,No,Yes,Yes,No,No,No,No,Commerce
b,b,Yes,Yes,No,Yes,No,No,No,Yes,Commerce
b,a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Commerce
c,d,No,Yes,Yes,No,Yes,No,Yes,Yes,Commerce
b,b,Yes,Yes,Yes,No,Yes,No,Yes,No,Commerce
b,c,No,Yes,Yes,No,No,Yes,Yes,Yes,Commerce
b,b,No,Yes,No,Yes,Yes,No,No,No,Commerce
b,a,No,Yes,No,Yes,No,No,No,Yes,Commerce
b,b,Yes,Yes,Yes,No,No,No,Yes,No,Commerce
a,c,No,Yes,Yes,Yes,No,Yes,No,No,Commerce
c,d,No,Yes,Yes,No,No,No,No,Yes,Commerce
c,d,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Commerce
b,b,Yes,Yes,Yes,No,No,No,No,Yes,Commerce
b,a,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Commerce
b,c,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Commerce
b,c,Yes,Yes,No,No,No,Yes,Yes,Yes,Commerce
a,d,Yes,No,No,Yes,No,Yes,Yes,No,Commerce
b,d,No,Yes,Yes,No,No,No,Yes,No,Commerce
a,d,No,No,Yes,Yes,No,Yes,Yes,No,Commerce
b,a,Yes,Yes,No,Yes,No,No,No,No,Commerce
b,b,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Commerce
a,d,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Commerce
b,d,No,Yes,No,No,No,Yes,Yes,No,Commerce
b,a,No,No,Yes,Yes,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,a,Yes,No,No,No,Yes,No,Yes,Yes,Higher Institute of Administrative Sciences
b,d,Yes,No,No,Yes,No,Yes,No,Yes,Higher Institute of Administrative Sciences
b,a,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Higher Institute of Administrative Sciences
a,d,No,No,Yes,No,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,d,Yes,No,No,No,Yes,No,No,No,Higher Institute of Administrative Sciences
b,c,No,No,No,Yes,Yes,Yes,Yes,No,Higher Institute of Administrative Sciences
b,b,No,No,Yes,Yes,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,d,No,No,Yes,No,Yes,Yes,Yes,No,Higher Institute of Administrative Sciences
b,b,Yes,No,No,No,Yes,No,Yes,Yes,Higher Institute of Administrative Sciences
c,d,No,No,Yes,Yes,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
c,b,No,No,No,Yes,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,d,Yes,No,Yes,Yes,No,No,No,Yes,Higher Institute of Administrative Sciences
b,b,Yes,No,No,Yes,No,No,No,No,Higher Institute of Administrative Sciences
b,c,Yes,No,No,Yes,Yes,Yes,Yes,No,Higher Institute of Administrative Sciences
b,d,No,No,Yes,Yes,Yes,No,No,No,Higher Institute of Administrative Sciences
c,d,No,No,Yes,No,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
c,d,Yes,No,Yes,Yes,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,a,Yes,No,Yes,No,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,c,Yes,No,No,No,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,d,Yes,No,No,No,Yes,No,No,Yes,Higher Institute of Administrative Sciences
b,a,Yes,No,No,Yes,No,No,No,Yes,Higher Institute of Administrative Sciences
b,a,No,No,No,No,No,No,No,No,Higher Institute of Administrative Sciences
b,b,Yes,No,Yes,No,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,a,No,No,Yes,Yes,No,Yes,Yes,No,Higher Institute of Administrative Sciences
b,c,No,No,Yes,Yes,Yes,Yes,No,Yes,Higher Institute of Administrative Sciences
b,a,No,No,Yes,Yes,Yes,Yes,No,No,Higher Institute of Administrative Sciences
b,b,No,No,No,Yes,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,d,Yes,No,No,Yes,Yes,No,No,Yes,Higher Institute of Administrative Sciences
c,d,No,No,No,Yes,Yes,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,d,Yes,No,Yes,Yes,No,Yes,Yes,No,Higher Institute of Administrative Sciences
b,a,No,No,Yes,No,No,Yes,No,Yes,Higher Institute of Administrative Sciences
b,c,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Higher Institute of Administrative Sciences
b,b,No,No,No,Yes,No,Yes,Yes,No,Higher Institute of Administrative Sciences
b,b,Yes,No,No,Yes,Yes,No,Yes,Yes,Higher Institute of Administrative Sciences
b,d,Yes,No,Yes,Yes,No,No,Yes,No,Higher Institute of Administrative Sciences
c,d,No,No,Yes,Yes,Yes,No,No,Yes,Higher Institute of Administrative Sciences
b,a,Yes,No,No,No,Yes,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,b,Yes,No,Yes,No,Yes,No,Yes,Yes,Higher Institute of Administrative Sciences
b,b,No,No,No,Yes,No,Yes,No,Yes,Higher Institute of Administrative Sciences
b,b,No,No,No,Yes,Yes,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,c,No,No,No,No,Yes,No,Yes,Yes,Higher Institute of Administrative Sciences
b,a,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Higher Institute of Administrative Sciences
c,d,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,b,No,No,No,No,No,No,Yes,No,Higher Institute of Administrative Sciences
b,b,No,No,Yes,No,Yes,No,Yes,Yes,Higher Institute of Administrative Sciences
b,b,No,No,No,Yes,No,No,No,No,Higher Institute of Administrative Sciences
b,d,No,No,Yes,Yes,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,d,No,No,No,Yes,No,No,No,No,Higher Institute of Administrative Sciences
b,a,Yes,No,No,No,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,b,Yes,No,No,Yes,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,d,No,No,No,Yes,No,No,No,Yes,Higher Institute of Administrative Sciences
b,b,No,No,No,Yes,No,No,No,Yes,Higher Institute of Administrative Sciences
b,b,No,No,Yes,Yes,Yes,No,No,No,Higher Institute of Administrative Sciences
c,d,No,No,Yes,Yes,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,b,No,No,No,Yes,No,No,Yes,No,Higher Institute of Administrative Sciences
b,a,Yes,No,Yes,No,Yes,No,Yes,Yes,Higher Institute of Administrative Sciences
b,c,Yes,No,No,No,No,Yes,Yes,No,Higher Institute of Administrative Sciences
b,a,No,No,No,Yes,No,Yes,Yes,No,Higher Institute of Administrative Sciences
b,d,Yes,No,No,No,Yes,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,c,No,No,Yes,Yes,No,Yes,Yes,No,Higher Institute of Administrative Sciences
b,a,Yes,No,Yes,Yes,No,Yes,No,Yes,Higher Institute of Administrative Sciences
b,d,No,No,Yes,Yes,No,Yes,No,No,Higher Institute of Administrative Sciences
c,a,No,No,No,Yes,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,c,Yes,No,No,No,Yes,No,Yes,No,Higher Institute of Administrative Sciences
b,b,No,No,No,Yes,No,Yes,No,No,Higher Institute of Administrative Sciences
b,d,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Higher Institute of Administrative Sciences
b,c,Yes,No,Yes,No,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,b,Yes,No,No,No,No,Yes,Yes,No,Higher Institute of Administrative Sciences
b,b,Yes,No,No,Yes,Yes,Yes,No,No,Higher Institute of Administrative Sciences
b,b,No,No,Yes,Yes,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
c,b,No,No,No,Yes,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,d,Yes,No,No,Yes,Yes,No,Yes,Yes,Higher Institute of Administrative Sciences
b,c,Yes,No,No,No,No,No,Yes,No,Higher Institute of Administrative Sciences
b,c,No,No,No,Yes,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,b,No,No,No,No,No,Yes,No,Yes,Higher Institute of Administrative Sciences
b,c,No,No,No,Yes,No,No,Yes,No,Higher Institute of Administrative Sciences
b,d,Yes,No,Yes,No,Yes,Yes,No,Yes,Higher Institute of Administrative Sciences
b,d,No,No,No,No,No,No,No,No,Higher Institute of Administrative Sciences
b,d,Yes,No,No,No,No,Yes,Yes,No,Higher Institute of Administrative Sciences
b,c,No,No,No,Yes,Yes,No,Yes,No,Higher Institute of Administrative Sciences
b,b,Yes,No,No,Yes,Yes,Yes,Yes,No,Higher Institute of Administrative Sciences
c,d,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,d,No,No,Yes,No,No,Yes,No,Yes,Higher Institute of Administrative Sciences
b,d,No,No,No,No,No,Yes,No,Yes,Higher Institute of Administrative Sciences
b,b,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Higher Institute of Administrative Sciences
c,b,No,No,No,No,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,a,No,No,Yes,No,No,No,Yes,No,Higher Institute of Administrative Sciences
b,b,No,No,Yes,No,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,a,No,No,Yes,No,Yes,No,Yes,Yes,Higher Institute of Administrative Sciences
b,a,Yes,No,No,Yes,Yes,Yes,Yes,No,Higher Institute of Administrative Sciences
b,a,No,No,No,No,Yes,No,No,Yes,Higher Institute of Administrative Sciences
b,a,No,No,Yes,Yes,Yes,No,No,No,Higher Institute of Administrative Sciences
b,d,No,No,No,No,Yes,Yes,Yes,No,Higher Institute of Administrative Sciences
b,b,No,No,No,No,No,Yes,Yes,No,Higher Institute of Administrative Sciences
b,d,No,No,Yes,Yes,No,No,No,No,Higher Institute of Administrative Sciences
a,d,No,No,No,No,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,d,Yes,No,Yes,No,Yes,No,No,No,Higher Institute of Administrative Sciences
b,d,Yes,No,Yes,No,Yes,No,Yes,Yes,Higher Institute of Administrative Sciences
b,a,Yes,No,No,Yes,Yes,No,No,Yes,Higher Institute of Administrative Sciences
b,d,No,No,No,No,Yes,Yes,No,No,Higher Institute of Administrative Sciences
b,d,No,No,No,No,Yes,No,No,No,Higher Institute of Administrative Sciences
b,c,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,d,No,No,No,No,Yes,No,Yes,Yes,Higher Institute of Administrative Sciences
b,b,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Higher Institute of Administrative Sciences
c,d,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Higher Institute of Administrative Sciences
a,d,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,b,Yes,No,Yes,Yes,No,No,No,No,Higher Institute of Administrative Sciences
b,c,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,c,No,No,Yes,Yes,Yes,Yes,No,No,Higher Institute of Administrative Sciences
b,c,No,No,Yes,Yes,Yes,No,No,No,Higher Institute of Administrative Sciences
c,d,No,No,Yes,No,No,No,Yes,Yes,Higher Institute of Administrative Sciences
a,d,No,No,No,Yes,No,Yes,No,Yes,Higher Institute of Administrative Sciences
b,a,Yes,No,No,No,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,c,Yes,No,Yes,Yes,No,No,Yes,No,Higher Institute of Administrative Sciences
b,c,No,No,Yes,Yes,No,No,No,No,Higher Institute of Administrative Sciences
b,c,Yes,No,No,Yes,No,Yes,No,Yes,Higher Institute of Administrative Sciences
b,a,Yes,No,No,Yes,Yes,No,No,No,Higher Institute of Administrative Sciences
c,d,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,a,No,No,Yes,No,Yes,No,Yes,No,Higher Institute of Administrative Sciences
b,c,Yes,No,No,Yes,No,Yes,No,No,Higher Institute of Administrative Sciences
b,d,No,No,No,Yes,Yes,No,No,No,Higher Institute of Administrative Sciences
b,b,Yes,No,Yes,No,No,Yes,Yes,No,Higher Institute of Administrative Sciences
b,a,Yes,No,Yes,Yes,No,No,Yes,No,Higher Institute of Administrative Sciences
b,d,Yes,No,Yes,No,No,No,No,No,Higher Institute of Administrative Sciences
b,b,Yes,No,Yes,No,No,Yes,No,Yes,Higher Institute of Administrative Sciences
c,d,No,No,No,Yes,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,d,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Higher Institute of Administrative Sciences
b,b,No,No,Yes,No,No,Yes,No,Yes,Higher Institute of Administrative Sciences
a,d,No,No,Yes,Yes,No,No,No,Yes,Higher Institute of Administrative Sciences
a,d,No,No,No,Yes,No,No,No,Yes,Higher Institute of Administrative Sciences
b,d,No,No,Yes,No,No,No,No,Yes,Higher Institute of Administrative Sciences
b,b,Yes,No,Yes,Yes,No,Yes,No,Yes,Higher Institute of Administrative Sciences
b,c,No,No,No,No,No,No,Yes,No,Higher Institute of Administrative Sciences
b,b,No,No,Yes,No,No,Yes,Yes,No,Higher Institute of Administrative Sciences
b,c,No,No,No,Yes,Yes,No,No,Yes,Higher Institute of Administrative Sciences
b,d,No,No,Yes,No,No,Yes,Yes,No,Higher Institute of Administrative Sciences
b,a,Yes,No,Yes,No,No,No,Yes,No,Higher Institute of Administrative Sciences
c,a,No,No,No,Yes,Yes,No,Yes,Yes,Higher Institute of Administrative Sciences
b,b,Yes,No,Yes,Yes,No,No,No,Yes,Higher Institute of Administrative Sciences
b,b,No,No,No,Yes,Yes,Yes,No,Yes,Higher Institute of Administrative Sciences
b,b,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,b,No,No,Yes,No,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,a,No,No,No,Yes,Yes,Yes,No,Yes,Higher Institute of Administrative Sciences
b,a,No,No,No,Yes,Yes,No,Yes,Yes,Higher Institute of Administrative Sciences
c,c,No,No,No,Yes,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,b,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Higher Institute of Administrative Sciences
c,d,No,No,No,No,Yes,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,a,No,No,Yes,No,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
a,d,No,No,Yes,Yes,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
a,d,Yes,No,No,Yes,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,d,No,No,Yes,No,Yes,Yes,No,Yes,Higher Institute of Administrative Sciences
b,c,No,No,Yes,No,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,a,Yes,No,Yes,Yes,Yes,No,No,No,Higher Institute of Administrative Sciences
b,b,No,No,Yes,No,Yes,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,b,Yes,No,Yes,Yes,No,Yes,Yes,No,Higher Institute of Administrative Sciences
b,b,No,No,Yes,Yes,No,Yes,No,No,Higher Institute of Administrative Sciences
b,a,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Higher Institute of Administrative Sciences
b,b,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Higher Institute of Administrative Sciences
b,b,No,No,Yes,Yes,No,No,No,Yes,Higher Institute of Administrative Sciences
b,c,No,No,Yes,Yes,Yes,No,No,Yes,Higher Institute of Administrative Sciences
b,a,No,No,Yes,Yes,No,Yes,No,No,Higher Institute of Administrative Sciences
b,d,Yes,No,Yes,No,Yes,No,Yes,No,Higher Institute of Administrative Sciences
b,d,No,No,No,Yes,No,No,Yes,No,Higher Institute of Administrative Sciences
b,d,Yes,No,Yes,Yes,No,Yes,No,No,Higher Institute of Administrative Sciences
b,c,Yes,No,Yes,Yes,No,Yes,Yes,No,Higher Institute of Administrative Sciences
b,c,No,No,No,Yes,No,No,No,No,Higher Institute of Administrative Sciences
b,c,No,No,Yes,Yes,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,d,No,No,Yes,Yes,Yes,No,Yes,No,Higher Institute of Administrative Sciences
b,b,Yes,No,Yes,Yes,Yes,No,No,Yes,Higher Institute of Administrative Sciences
b,a,No,No,No,Yes,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,b,Yes,No,No,Yes,Yes,No,No,No,Higher Institute of Administrative Sciences
